,concept,spanish,spanish_to_eng,german,german_to_eng,english,typ_es,typ_de,typ_en
0,animal,,,,,aardvark,,,0.277408637873754
1,animal,,,,,alligator,,,0.5937847866419295
2,animal,,,,,alpaca,,,0.4372294372294373
3,animal,,,Ameise,ant,ant,,0.7083333333333334,0.34029243881460636
4,animal,,,,,anteater,,,0.4476190476190475
5,animal,,,Antilope,antelope,antelope,,0.6749999999999999,0.5526815377313716
6,animal,,,Dachs,badger,badger,,0.6916666666666668,0.5447779111644658
7,animal,,,,,barnacle,,,0.06890756302521005
8,animal,,,Fledermaus,bat,bat,,0.7083333333333334,0.5201814058956915
9,animal,Oso,bear,Bär,bear,bear,0.9466666666666667,0.9666666666666667,0.8383045525902668
10,animal,,,Biber,beaver,beaver,,0.6583333333333333,0.6310657596371883
11,animal,Abeja,bee,Biene,bee,bee,0.5466666666666667,0.7719298245614036,0.3409768401742719
12,animal,,,Käfer,beetle,beetle,,0.6491228070175439,0.2699443413729128
13,animal,Pájaro,bird,,,bird,0.8533333333333334,,0.8089887640449438
14,animal,,,Bison,bison,bison,,0.6666666666666666,0.4794797039694999
15,animal,,,,,blowfish,,,0.20079756040347166
16,animal,,,,,boar,,,0.4720930232558139
17,animal,,,,,bug,,,0.392063492063492
18,animal,Toro,bull,Stier,bull,bull,0.9133333333333334,0.7583333333333333,0.6854480922803905
19,animal,Mariposa,butterfly,Schmetterling,butterfly,butterfly,0.5333333333333333,0.7999999999999999,0.3308523409363745
20,animal,,,,,calf,,,0.7039002267573696
21,animal,Camello,camel,Kamel,camel,camel,0.5333333333333333,0.85,0.631083202511774
22,animal,,,,,cardinal,,,0.46155671570953966
23,animal,Gato,cat,Katze,cat,cat,0.9533333333333333,0.9833333333333334,0.915282392026578
24,animal,,,,,caterpillar,,,0.27674366449876653
25,animal,,,,,catfish,,,0.3514739229024943
26,animal,Guepardo,cheetah,Gepard,cheetah,cheetah,0.38666666666666666,0.7000000000000001,0.7098106712564544
