category,concept_en,instance_English,instance_German,instance_Spanish,norm_rating_English,norm_rating_German,norm_rating_Spanish,n_languages,in_multiple_languages,gemma_typicality
animal,ANT,ant,Ameise,Hormiga,0.3086615877209107,0.6305555555555556,0.5211267605633804,3,True,5
animal,BEE,bee,Biene,Abeja,0.3094220418614702,0.711111111111111,0.5211267605633804,3,True,6
animal,BUTTERFLY,butterfly,Schmetterling,Mariposa,0.2981724771757512,0.7466666666666667,0.5070422535211268,3,True,5
animal,CROW,crow,Krähe,Cuervo,0.4993096416301263,0.8205555555555556,0.3943661971830986,3,True,6
animal,DUCK,duck,Ente,Pato,0.7726080064800518,0.9366666666666666,0.8309859154929577,3,True,6
animal,EAGLE,eagle,Adler,Águila,0.6442874070257191,0.8522222222222222,0.619718309859155,3,True,6
animal,FROG,frog,Frosch,Rana,0.6440383543921642,0.7572222222222224,0.6126760563380281,3,True,6
animal,HUMMINGBIRD,hummingbird,Kolibri,Colibrí,0.400380752329934,0.5777777777777781,0.1760563380281689,3,True,6
animal,IGUANA,iguana,Leguan,Iguana,0.4025416104143378,0.4604938271604931,0.4225352112676057,3,True,5
animal,LIZARD,lizard,Eidechse,Lagartija,0.5412056386874524,0.5355555555555557,0.4788732394366197,3,True,5
animal,OWL,owl,Eule,Búho,0.625006727446907,0.7255555555555556,0.4577464788732394,3,True,6
animal,PARROT,parrot,Papagei,Loro,0.58589066015091,0.7361111111111112,0.6901408450704225,3,True,5
animal,SEAGULL,seagull,Möwe,Gaviota,0.4028067610490418,0.883888888888889,0.528169014084507,3,True,6
animal,SNAKE,snake,Schlange,Culebra,0.5795917765283662,0.7255555555555556,0.4436619718309859,3,True,6
animal,SPIDER,spider,Spinne,Araña,0.3400951890262395,0.6833333333333335,0.4647887323943662,3,True,4
animal,VULTURE,vulture,Geier,Buitre,0.3543436981862005,0.6666666666666675,0.4014084507042254,3,True,6
animal,WASP,wasp,Wespe,Avispa,0.1982953071016291,0.5333333333333343,0.4014084507042254,3,True,6
animal,WORM,worm,Wurm,Gusano,0.2463476808767339,0.4666666666666678,0.3169014084507042,3,True,4
animal,BEETLE,beetle,Käfer,,0.2304961936513124,0.5555555555555552,,2,True,5
animal,DRAGONFLY,dragonfly,Libelle,,0.1598341719220484,0.4555555555555563,,2,True,6
animal,FLAMINGO,flamingo,Flamingo,,0.4640633290407787,0.5461111111111112,,2,True,5
animal,HAWK,hawk,Falke,,0.5278401486855465,0.693888888888889,,2,True,6
animal,LADYBUG,ladybug,Marienkäfer,,0.2090474961506486,0.6411111111111112,,2,True,6
animal,PEACOCK,peacock,Pfau,,0.5145250164472218,0.5777777777777781,,2,True,6
animal,PELICAN,pelican,Pelikan,,0.3889153686574386,0.5777777777777781,,2,True,6
animal,PENGUIN,penguin,Pinguin,,0.600325857838086,0.7044444444444447,,2,True,6
animal,PHEASANT,pheasant,Fasan,,0.2462350385108288,0.5672222222222225,,2,True,6
animal,SEAHORSE,seahorse,Seepferdchen,,0.2216935531530991,0.4194444444444448,,2,True,5
animal,STARFISH,starfish,Seestern,,0.2614136369235773,0.1027777777777781,,2,True,5
animal,SWAN,swan,Schwan,,0.5030094941044942,0.7150000000000002,,2,True,6
animal,TARANTULA,tarantula,Tarantel,,0.2114535232087948,0.2444444444444452,,2,True,5
animal,TICK,tick,Zecke,,0.0785856505885623,0.0666666666666665,,2,True,3
animal,FLY (MOVE THROUGH AIR),,Fliegen,,,0.0562091503267972,,1,False,6
clothing,BLOUSE,blouse,Bluse,Blusa,0.8378740000909838,0.8944444444444445,0.7816901408450704,3,True,6
clothing,CLOAK,cloak,Umhang,Capa,0.3095444123443149,0.1111111111111122,0.2253521126760563,3,True,5
clothing,COAT,coat,Mantel,Abrigo,0.8779622796931171,0.9155555555555556,0.823943661971831,3,True,6
clothing,DRESS,dress,Kleid,Vestido,0.9173115489493486,0.9155555555555556,0.9507042253521126,3,True,6
clothing,GLOVE,glove,Handschuh,Guante,0.4736736257677454,0.5988888888888891,0.3450704225352112,3,True,6
clothing,JACKET,jacket,Jacke,Chaqueta,0.8497388635238105,0.9366666666666666,0.852112676056338,3,True,6
clothing,RAINCOAT,raincoat,Regenjacke,Impermeable,0.4992328424073489,0.7255555555555556,0.4154929577464789,3,True,6
clothing,SHAWL,shawl,Schal,Chal,0.4502360361199188,0.7255555555555556,0.3186619718309859,3,True,6
clothing,SHIRT,shirt,Hemd,Camisa,0.9721729563466608,0.9155555555555556,0.9084507042253522,3,True,6
clothing,SKIRT,skirt,Rock,Falda,0.8392926250666479,0.883888888888889,0.9014084507042254,3,True,2
clothing,SOCK,sock,Socke,Calcetines,0.7061708907702977,0.9261111111111112,0.6338028169014084,3,True,6
