category,concept_en,instance_English,instance_German,instance_Spanish,norm_rating_English,norm_rating_German,norm_rating_Spanish,n_languages,in_multiple_languages,llama_typicality
animal,ANT,ant,Ameise,Hormiga,0.3086615877209107,0.6305555555555556,0.5211267605633804,3,True,4.0
animal,BEE,bee,Biene,Abeja,0.3094220418614702,0.711111111111111,0.5211267605633804,3,True,6.0
animal,BUTTERFLY,butterfly,Schmetterling,Mariposa,0.2981724771757512,0.7466666666666667,0.5070422535211268,3,True,4.0
animal,CROW,crow,Krähe,Cuervo,0.4993096416301263,0.8205555555555556,0.3943661971830986,3,True,6.0
animal,DUCK,duck,Ente,Pato,0.7726080064800518,0.9366666666666666,0.8309859154929577,3,True,6.0
animal,EAGLE,eagle,Adler,Águila,0.6442874070257191,0.8522222222222222,0.619718309859155,3,True,6.0
animal,FROG,frog,Frosch,Rana,0.6440383543921642,0.7572222222222224,0.6126760563380281,3,True,6.0
animal,HUMMINGBIRD,hummingbird,Kolibri,Colibrí,0.400380752329934,0.5777777777777781,0.1760563380281689,3,True,5.0
animal,IGUANA,iguana,Leguan,Iguana,0.4025416104143378,0.4604938271604931,0.4225352112676057,3,True,6.0
animal,LIZARD,lizard,Eidechse,Lagartija,0.5412056386874524,0.5355555555555557,0.4788732394366197,3,True,5.0
animal,OWL,owl,Eule,Búho,0.625006727446907,0.7255555555555556,0.4577464788732394,3,True,6.0
animal,PARROT,parrot,Papagei,Loro,0.58589066015091,0.7361111111111112,0.6901408450704225,3,True,5.0
animal,SEAGULL,seagull,Möwe,Gaviota,0.4028067610490418,0.883888888888889,0.528169014084507,3,True,5.0
animal,SNAKE,snake,Schlange,Culebra,0.5795917765283662,0.7255555555555556,0.4436619718309859,3,True,6.0
animal,SPIDER,spider,Spinne,Araña,0.3400951890262395,0.6833333333333335,0.4647887323943662,3,True,6.0
animal,VULTURE,vulture,Geier,Buitre,0.3543436981862005,0.6666666666666675,0.4014084507042254,3,True,6.0
animal,WASP,wasp,Wespe,Avispa,0.1982953071016291,0.5333333333333343,0.4014084507042254,3,True,6.0
animal,WORM,worm,Wurm,Gusano,0.2463476808767339,0.4666666666666678,0.3169014084507042,3,True,5.0
animal,BEETLE,beetle,Käfer,,0.2304961936513124,0.5555555555555552,,2,True,5.0
animal,BIRD,bird,,Pájaro,0.8294408879850962,,0.8450704225352114,2,True,6.0
animal,COCKROACH,cockroach,,Cucaracha,0.2016698341359546,,0.2605633802816901,2,True,6.0
animal,DRAGONFLY,dragonfly,Libelle,,0.1598341719220484,0.4555555555555563,,2,True,6.0
animal,FLAMINGO,flamingo,Flamingo,,0.4640633290407787,0.5461111111111112,,2,True,6.0
animal,GRASSHOPPER,grasshopper,,Saltamontes,0.2536875378979509,,0.380281690140845,2,True,6.0
animal,HAWK,hawk,Falke,,0.5278401486855465,0.693888888888889,,2,True,6.0
animal,LADYBUG,ladybug,Marienkäfer,,0.2090474961506486,0.6411111111111112,,2,True,6.0
animal,MOSQUITO,mosquito,,Mosquito,0.1362392949171315,,0.3661971830985915,2,True,5.0
animal,OSTRICH,ostrich,,Avestruz,0.462633539233187,,0.4154929577464789,2,True,5.0
animal,PEACOCK,peacock,Pfau,,0.5145250164472218,0.5777777777777781,,2,True,6.0
animal,PELICAN,pelican,Pelikan,,0.3889153686574386,0.5777777777777781,,2,True,6.0
animal,PENGUIN,penguin,Pinguin,,0.600325857838086,0.7044444444444447,,2,True,6.0
animal,PHEASANT,pheasant,Fasan,,0.2462350385108288,0.5672222222222225,,2,True,6.0
animal,ROOSTER,rooster,,Gallo,0.6638270210771497,,0.7464788732394365,2,True,6.0
animal,SEAHORSE,seahorse,Seepferdchen,,0.2216935531530991,0.4194444444444448,,2,True,6.0
animal,STARFISH,starfish,Seestern,,0.2614136369235773,0.1027777777777781,,2,True,5.0
animal,SWAN,swan,Schwan,,0.5030094941044942,0.7150000000000002,,2,True,5.0
animal,TARANTULA,tarantula,Tarantel,,0.2114535232087948,0.2444444444444452,,2,True,6.0
animal,TICK,tick,Zecke,,0.0785856505885623,0.0666666666666665,,2,True,2.0
animal,TOAD,toad,,Sapo,0.4439212337500938,,0.4929577464788732,2,True,5.0
animal,TURTLE,turtle,,Tortuga,0.7002447926903184,,0.7464788732394365,2,True,6.0
animal,AARDVARK,aardvark,,,0.2387899457023065,,,1,False,6.0
animal,ALLIGATOR,alligator,,,0.5903227837180454,,,1,False,6.0
animal,ALPACA,alpaca,,,0.4163705230947409,,,1,False,5.0
animal,ANTEATER,anteater,,,0.4279146588975119,,,1,False,6.0
animal,ANTELOPE,antelope,,,0.5446520155597816,,,1,False,6.0
animal,BADGER,badger,,,0.5358701137365919,,,1,False,6.0
animal,BARNACLE,barnacle,,,0.0071195911063046,,,1,False,2.0
animal,BAT,bat,,,0.5085403692660724,,,1,False,6.0
animal,BEAR,bear,,,0.8620143369828525,,,1,False,6.0
animal,BEAVER,beaver,,,0.6317465329230288,,,1,False,6.0
animal,BISON,bison,,,0.4633157692262349,,,1,False,6.0
