category,concept_en,instance_English,instance_German,instance_Spanish,norm_rating_English,norm_rating_German,norm_rating_Spanish,n_languages,in_multiple_languages,llama_typicality
animal,ANT,ant,Ameise,Hormiga,0.3086615877209107,0.6305555555555556,0.5211267605633804,3,True,3
animal,BEE,bee,Biene,Abeja,0.3094220418614702,0.711111111111111,0.5211267605633804,3,True,6
animal,BUTTERFLY,butterfly,Schmetterling,Mariposa,0.2981724771757512,0.7466666666666667,0.5070422535211268,3,True,4
animal,CROW,crow,Krähe,Cuervo,0.4993096416301263,0.8205555555555556,0.3943661971830986,3,True,6
animal,DUCK,duck,Ente,Pato,0.7726080064800518,0.9366666666666666,0.8309859154929577,3,True,3
animal,EAGLE,eagle,Adler,Águila,0.6442874070257191,0.8522222222222222,0.619718309859155,3,True,7
animal,FROG,frog,Frosch,Rana,0.6440383543921642,0.7572222222222224,0.6126760563380281,3,True,5
animal,HUMMINGBIRD,hummingbird,Kolibri,Colibrí,0.400380752329934,0.5777777777777781,0.1760563380281689,3,True,6
animal,IGUANA,iguana,Leguan,Iguana,0.4025416104143378,0.4604938271604931,0.4225352112676057,3,True,4
animal,LIZARD,lizard,Eidechse,Lagartija,0.5412056386874524,0.5355555555555557,0.4788732394366197,3,True,5
animal,OWL,owl,Eule,Búho,0.625006727446907,0.7255555555555556,0.4577464788732394,3,True,6
animal,PARROT,parrot,Papagei,Loro,0.58589066015091,0.7361111111111112,0.6901408450704225,3,True,5
animal,SEAGULL,seagull,Möwe,Gaviota,0.4028067610490418,0.883888888888889,0.528169014084507,3,True,5
animal,SNAKE,snake,Schlange,Culebra,0.5795917765283662,0.7255555555555556,0.4436619718309859,3,True,6
animal,SPIDER,spider,Spinne,Araña,0.3400951890262395,0.6833333333333335,0.4647887323943662,3,True,3
animal,VULTURE,vulture,Geier,Buitre,0.3543436981862005,0.6666666666666675,0.4014084507042254,3,True,5
animal,WASP,wasp,Wespe,Avispa,0.1982953071016291,0.5333333333333343,0.4014084507042254,3,True,3
animal,WORM,worm,Wurm,Gusano,0.2463476808767339,0.4666666666666678,0.3169014084507042,3,True,4
animal,BIRD,bird,,Pájaro,0.8294408879850962,,0.8450704225352114,2,True,7
animal,COCKROACH,cockroach,,Cucaracha,0.2016698341359546,,0.2605633802816901,2,True,3
animal,GRASSHOPPER,grasshopper,,Saltamontes,0.2536875378979509,,0.380281690140845,2,True,5
animal,MOSQUITO,mosquito,,Mosquito,0.1362392949171315,,0.3661971830985915,2,True,3
animal,OSTRICH,ostrich,,Avestruz,0.462633539233187,,0.4154929577464789,2,True,5
animal,ROOSTER,rooster,,Gallo,0.6638270210771497,,0.7464788732394365,2,True,6
animal,TOAD,toad,,Sapo,0.4439212337500938,,0.4929577464788732,2,True,4
animal,TURTLE,turtle,,Tortuga,0.7002447926903184,,0.7464788732394365,2,True,5
animal,FLY (INSECT),,,Mosca,,,0.4084507042253521,1,False,1
body part,ANKLE,ankle,,Tobillo,0.4409009837829298,,0.7112676056338029,2,True,6
body part,ARM,arm,,Brazo,0.8754762768588701,,1.0,2,True,7
body part,BEARD,beard,,Barba,0.039836644404383,,0.3873239436619718,2,True,5
body part,BONE,bone,,Hueso,0.270958197876972,,0.6408450704225352,2,True,6
body part,CHEST,chest,,Arcón,0.5582793185302064,,0.3661971830985915,2,True,1
body part,CHIN,chin,,Barbilla,0.4377129223103578,,0.6549295774647887,2,True,6
body part,EAR,ear,,Oído,0.683814408164277,,0.7323943661971831,2,True,7
body part,ELBOW,elbow,,Codo,0.5125716547845004,,0.6971830985915494,2,True,5
body part,EYE,eye,,Ojo,0.7021680518230683,,0.9366197183098592,2,True,7
body part,FACE,face,,Cara,0.620593522275922,,0.9471830985915494,2,True,6
body part,FINGER,finger,,Dedo,0.7453614077201299,,0.8873239436619719,2,True,6
body part,FOOT,foot,,Pie,0.7290732832965053,,0.9295774647887324,2,True,7
body part,HAIR,hair,,Cabello,0.2658535839059877,,0.7183098591549296,2,True,7
body part,HAND,hand,,Mano,0.8772087153820712,,0.9859154929577464,2,True,7
body part,HIP,hip,,Cadera,0.4522078416873411,,0.7816901408450704,2,True,6
body part,KNEE,knee,,Rodilla,0.6039747550312332,,0.8098591549295774,2,True,5
