category,item_a,item_b,winner
animal,ant,bee,bee
animal,ant,butterfly,butterfly
animal,ant,crow,crow
animal,ant,duck,duck
animal,ant,eagle,eagle
animal,ant,frog,frog
animal,ant,hummingbird,hummingbird
animal,ant,iguana,iguana
animal,ant,lizard,lizard
animal,ant,owl,owl
animal,ant,parrot,parrot
animal,ant,seagull,seagull
animal,ant,snake,snake
animal,ant,spider,spider
animal,ant,vulture,vulture
animal,ant,wasp,wasp
animal,ant,worm,ant
animal,ant,beetle,beetle
animal,ant,dragonfly,dragonfly
animal,ant,flamingo,flamingo
animal,ant,hawk,hawk
animal,ant,ladybug,ladybug
animal,ant,peacock,peacock
animal,ant,pelican,pelican
animal,ant,penguin,penguin
animal,ant,pheasant,pheasant
animal,ant,seahorse,seahorse
animal,ant,starfish,ant
animal,ant,swan,swan
animal,ant,tarantula,tarantula
animal,ant,tick,ant
animal,ant,,ant
animal,bee,butterfly,butterfly
animal,bee,crow,crow
animal,bee,duck,duck
animal,bee,eagle,eagle
animal,bee,frog,frog
animal,bee,hummingbird,bee
animal,bee,iguana,iguana
animal,bee,lizard,lizard
animal,bee,owl,owl
animal,bee,parrot,parrot
animal,bee,seagull,seagull
animal,bee,snake,snake
animal,bee,spider,spider
animal,bee,vulture,vulture
animal,bee,wasp,bee
animal,bee,worm,bee
animal,bee,beetle,beetle
animal,bee,dragonfly,bee
animal,bee,flamingo,flamingo
animal,bee,hawk,hawk
animal,bee,ladybug,ladybug
animal,bee,peacock,peacock
animal,bee,pelican,pelican
animal,bee,penguin,penguin
animal,bee,pheasant,pheasant
animal,bee,seahorse,bee
animal,bee,starfish,bee
animal,bee,swan,swan
animal,bee,tarantula,bee
animal,bee,tick,bee
animal,bee,,bee
animal,butterfly,crow,crow
animal,butterfly,duck,duck
animal,butterfly,eagle,eagle
animal,butterfly,frog,frog
animal,butterfly,hummingbird,hummingbird
animal,butterfly,iguana,iguana
animal,butterfly,lizard,lizard
animal,butterfly,owl,owl
animal,butterfly,parrot,parrot
animal,butterfly,seagull,seagull
animal,butterfly,snake,snake
animal,butterfly,spider,spider
animal,butterfly,vulture,vulture
animal,butterfly,wasp,wasp
animal,butterfly,worm,butterfly
animal,butterfly,beetle,beetle
animal,butterfly,dragonfly,butterfly
animal,butterfly,flamingo,flamingo
animal,butterfly,hawk,hawk
animal,butterfly,ladybug,ladybug
animal,butterfly,peacock,peacock
animal,butterfly,pelican,pelican
animal,butterfly,penguin,penguin
animal,butterfly,pheasant,pheasant
animal,butterfly,seahorse,seahorse
animal,butterfly,starfish,butterfly
animal,butterfly,swan,swan
