category,item_a,item_b,winner
animal,ant,bee,bee
animal,ant,butterfly,butterfly
animal,ant,crow,crow
animal,ant,duck,duck
animal,ant,eagle,eagle
animal,ant,frog,frog
animal,ant,hummingbird,hummingbird
animal,ant,iguana,iguana
animal,ant,lizard,lizard
animal,ant,owl,owl
animal,ant,parrot,parrot
animal,ant,seagull,seagull
animal,ant,snake,snake
animal,ant,spider,ant
animal,ant,vulture,vulture
animal,ant,wasp,ant
animal,ant,worm,ant
animal,ant,beetle,beetle
animal,ant,bird,bird
animal,ant,cockroach,ant
animal,ant,dragonfly,ant
animal,ant,flamingo,flamingo
animal,ant,grasshopper,ant
animal,ant,hawk,hawk
animal,ant,ladybug,ant
animal,ant,mosquito,ant
animal,ant,ostrich,ostrich
animal,ant,peacock,peacock
animal,ant,pelican,pelican
animal,ant,penguin,penguin
animal,ant,pheasant,pheasant
animal,ant,rooster,rooster
animal,ant,seahorse,ant
animal,ant,starfish,ant
animal,ant,swan,swan
animal,ant,tarantula,ant
animal,ant,tick,ant
animal,ant,toad,toad
animal,ant,turtle,turtle
animal,ant,aardvark,aardvark
animal,ant,alligator,alligator
animal,ant,alpaca,alpaca
animal,ant,anteater,anteater
animal,ant,antelope,antelope
animal,ant,badger,badger
animal,ant,barnacle,ant
animal,ant,bat,bat
animal,ant,bear,bear
animal,ant,beaver,beaver
animal,ant,bison,bison
animal,ant,blowfish,ant
animal,ant,boar,boar
animal,ant,bug,ant
animal,ant,bull,bull
animal,ant,calf,calf
animal,ant,camel,camel
animal,ant,cardinal,cardinal
animal,ant,cat,cat
animal,ant,caterpillar,ant
animal,ant,catfish,catfish
animal,ant,cheetah,cheetah
animal,ant,chick,chick
animal,ant,chicken,chicken
animal,ant,chihuahua,chihuahua
animal,ant,chinchilla,chinchilla
animal,ant,chipmunk,chipmunk
animal,ant,clam,ant
animal,ant,cobra,cobra
animal,ant,cockatoo,cockatoo
animal,ant,coral,ant
animal,ant,cougar,cougar
animal,ant,cow,cow
animal,ant,coyote,coyote
animal,ant,crab,ant
animal,ant,crayfish,ant
animal,ant,dalmatian,dalmatian
animal,ant,deer,deer
animal,ant,dog,dog
animal,ant,dolphin,dolphin
animal,ant,donkey,donkey
animal,ant,duckling,duckling
animal,ant,earwig,ant
animal,ant,eel,eel
animal,ant,elephant,elephant
animal,ant,ferret,ferret
animal,ant,fish,fish
animal,ant,fly,fly
animal,ant,fox,fox
animal,ant,gazelle,gazelle
animal,ant,giraffe,giraffe
animal,ant,goat,goat
animal,ant,goldfish,goldfish
animal,ant,goose,goose
animal,ant,gopher,gopher
