category,item_a,item_b,winner
animal,Ameise,Biene,Biene
animal,Ameise,Schmetterling,Schmetterling
animal,Ameise,Krähe,Krähe
animal,Ameise,Ente,Ente
animal,Ameise,Adler,Adler
animal,Ameise,Frosch,Frosch
animal,Ameise,Kolibri,Kolibri
animal,Ameise,Leguan,Leguan
animal,Ameise,Eidechse,Eidechse
animal,Ameise,Eule,Eule
animal,Ameise,Papagei,Papagei
animal,Ameise,Möwe,Möwe
animal,Ameise,Schlange,Schlange
animal,Ameise,Spinne,Ameise
animal,Ameise,Geier,Geier
animal,Ameise,Wespe,Ameise
animal,Ameise,Wurm,Wurm
animal,Ameise,Käfer,Käfer
animal,Ameise,Libelle,Ameise
animal,Ameise,Flamingo,Flamingo
animal,Ameise,Falke,Falke
animal,Ameise,Marienkäfer,Ameise
animal,Ameise,Pfau,Pfau
animal,Ameise,Pelikan,Pelikan
animal,Ameise,Pinguin,Pinguin
animal,Ameise,Fasan,Fasan
animal,Ameise,Seepferdchen,Ameise
animal,Ameise,Seestern,Ameise
animal,Ameise,Schwan,Schwan
animal,Ameise,Tarantel,Ameise
animal,Ameise,Zecke,Ameise
animal,Ameise,Fliegen,Fliegen
animal,Biene,Schmetterling,Schmetterling
animal,Biene,Krähe,Krähe
animal,Biene,Ente,Ente
animal,Biene,Adler,Adler
animal,Biene,Frosch,Frosch
animal,Biene,Kolibri,Kolibri
animal,Biene,Leguan,Leguan
animal,Biene,Eidechse,Eidechse
animal,Biene,Eule,Eule
animal,Biene,Papagei,Papagei
animal,Biene,Möwe,Möwe
animal,Biene,Schlange,Schlange
animal,Biene,Spinne,Biene
animal,Biene,Geier,Geier
animal,Biene,Wespe,Biene
animal,Biene,Wurm,Biene
animal,Biene,Käfer,Biene
animal,Biene,Libelle,Biene
animal,Biene,Flamingo,Biene
animal,Biene,Falke,Falke
animal,Biene,Marienkäfer,Biene
animal,Biene,Pfau,Biene
animal,Biene,Pelikan,Pelikan
animal,Biene,Pinguin,Pinguin
animal,Biene,Fasan,Fasan
animal,Biene,Seepferdchen,Biene
animal,Biene,Seestern,Biene
animal,Biene,Schwan,Schwan
animal,Biene,Tarantel,Biene
animal,Biene,Zecke,Biene
animal,Biene,Fliegen,Biene
animal,Schmetterling,Krähe,Krähe
animal,Schmetterling,Ente,Ente
animal,Schmetterling,Adler,Adler
animal,Schmetterling,Frosch,Frosch
animal,Schmetterling,Kolibri,Kolibri
animal,Schmetterling,Leguan,Leguan
animal,Schmetterling,Eidechse,Eidechse
animal,Schmetterling,Eule,Eule
animal,Schmetterling,Papagei,Papagei
animal,Schmetterling,Möwe,Möwe
animal,Schmetterling,Schlange,Schlange
