category,item_a,item_b,winner
animal,Hormiga,Abeja,Abeja
animal,Hormiga,Mariposa,Mariposa
animal,Hormiga,Cuervo,Cuervo
animal,Hormiga,Pato,Pato
animal,Hormiga,Águila,Águila
animal,Hormiga,Rana,Rana
animal,Hormiga,Colibrí,Colibrí
animal,Hormiga,Iguana,Iguana
animal,Hormiga,Lagartija,Lagartija
animal,Hormiga,Búho,Búho
animal,Hormiga,Loro,Loro
animal,Hormiga,Gaviota,Gaviota
animal,Hormiga,Culebra,Culebra
animal,Hormiga,Araña,Hormiga
animal,Hormiga,Buitre,Buitre
animal,Hormiga,Avispa,Hormiga
animal,Hormiga,Gusano,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Abeja,Mariposa,Mariposa
animal,Abeja,Cuervo,Cuervo
animal,Abeja,Pato,Pato
animal,Abeja,Águila,Águila
animal,Abeja,Rana,Rana
animal,Abeja,Colibrí,Colibrí
animal,Abeja,Iguana,Abeja
animal,Abeja,Lagartija,Lagartija
animal,Abeja,Búho,Búho
animal,Abeja,Loro,Loro
animal,Abeja,Gaviota,Gaviota
animal,Abeja,Culebra,Culebra
animal,Abeja,Araña,Abeja
animal,Abeja,Buitre,Buitre
animal,Abeja,Avispa,Abeja
animal,Abeja,Gusano,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Mariposa,Cuervo,Cuervo
animal,Mariposa,Pato,Pato
animal,Mariposa,Águila,Águila
animal,Mariposa,Rana,Rana
animal,Mariposa,Colibrí,Colibrí
animal,Mariposa,Iguana,Iguana
animal,Mariposa,Lagartija,Lagartija
animal,Mariposa,Búho,Búho
animal,Mariposa,Loro,Loro
animal,Mariposa,Gaviota,Gaviota
animal,Mariposa,Culebra,Culebra
animal,Mariposa,Araña,Mariposa
animal,Mariposa,Buitre,Buitre
animal,Mariposa,Avispa,Mariposa
animal,Mariposa,Gusano,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Cuervo,Pato,Pato
animal,Cuervo,Águila,Cuervo
animal,Cuervo,Rana,Rana
animal,Cuervo,Colibrí,Cuervo
animal,Cuervo,Iguana,Cuervo
animal,Cuervo,Lagartija,Cuervo
animal,Cuervo,Búho,Cuervo
animal,Cuervo,Loro,Loro
animal,Cuervo,Gaviota,Gaviota
animal,Cuervo,Culebra,Cuervo
animal,Cuervo,Araña,Cuervo
