category,item_a,item_b,winner
animal,ant,bee,ant
animal,ant,butterfly,butterfly
animal,ant,crow,crow
animal,ant,duck,duck
animal,ant,eagle,eagle
animal,ant,frog,frog
animal,ant,hummingbird,ant
animal,ant,iguana,iguana
animal,ant,lizard,lizard
animal,ant,owl,owl
animal,ant,parrot,parrot
animal,ant,seagull,seagull
animal,ant,snake,ant
animal,ant,spider,ant
animal,ant,vulture,ant
animal,ant,wasp,ant
animal,ant,worm,ant
animal,ant,beetle,ant
animal,ant,dragonfly,ant
animal,ant,flamingo,flamingo
animal,ant,hawk,hawk
animal,ant,ladybug,ladybug
animal,ant,peacock,peacock
animal,ant,pelican,pelican
animal,ant,penguin,penguin
animal,ant,pheasant,pheasant
animal,ant,seahorse,seahorse
animal,ant,starfish,ant
animal,ant,swan,swan
animal,ant,tarantula,ant
animal,ant,tick,ant
animal,ant,,ant
animal,bee,butterfly,butterfly
animal,bee,crow,crow
animal,bee,duck,duck
animal,bee,eagle,eagle
animal,bee,frog,frog
animal,bee,hummingbird,bee
animal,bee,iguana,iguana
animal,bee,lizard,lizard
animal,bee,owl,owl
animal,bee,parrot,parrot
animal,bee,seagull,seagull
animal,bee,snake,bee
animal,bee,spider,bee
animal,bee,vulture,vulture
animal,bee,wasp,bee
animal,bee,worm,bee
animal,bee,beetle,beetle
animal,bee,dragonfly,bee
animal,bee,flamingo,flamingo
animal,bee,hawk,hawk
animal,bee,ladybug,ladybug
animal,bee,peacock,peacock
animal,bee,pelican,pelican
animal,bee,penguin,penguin
animal,bee,pheasant,pheasant
animal,bee,seahorse,seahorse
animal,bee,starfish,bee
animal,bee,swan,swan
animal,bee,tarantula,tarantula
animal,bee,tick,bee
animal,bee,,bee
animal,butterfly,crow,crow
animal,butterfly,duck,duck
animal,butterfly,eagle,eagle
animal,butterfly,frog,frog
animal,butterfly,hummingbird,butterfly
animal,butterfly,iguana,iguana
animal,butterfly,lizard,lizard
animal,butterfly,owl,owl
animal,butterfly,parrot,parrot
animal,butterfly,seagull,seagull
animal,butterfly,snake,butterfly
animal,butterfly,spider,butterfly
animal,butterfly,vulture,vulture
animal,butterfly,wasp,butterfly
animal,butterfly,worm,butterfly
animal,butterfly,beetle,beetle
animal,butterfly,dragonfly,butterfly
animal,butterfly,flamingo,flamingo
animal,butterfly,hawk,hawk
animal,butterfly,ladybug,ladybug
animal,butterfly,peacock,butterfly
animal,butterfly,pelican,pelican
animal,butterfly,penguin,penguin
animal,butterfly,pheasant,pheasant
animal,butterfly,seahorse,butterfly
animal,butterfly,starfish,butterfly
animal,butterfly,swan,swan
animal,butterfly,tarantula,butterfly
animal,butterfly,tick,butterfly
animal,butterfly,,butterfly
animal,crow,duck,duck
animal,crow,eagle,crow
animal,crow,frog,crow
animal,crow,hummingbird,crow
animal,crow,iguana,crow
animal,crow,lizard,crow
animal,crow,owl,crow
animal,crow,parrot,parrot
animal,crow,seagull,seagull
animal,crow,snake,crow
animal,crow,spider,crow
animal,crow,vulture,crow
animal,crow,wasp,crow
animal,crow,worm,crow
animal,crow,beetle,crow
animal,crow,dragonfly,crow
animal,crow,flamingo,crow
animal,crow,hawk,crow
animal,crow,ladybug,crow
animal,crow,peacock,crow
animal,crow,pelican,crow
animal,crow,penguin,crow
animal,crow,pheasant,crow
animal,crow,seahorse,crow
animal,crow,starfish,crow
animal,crow,swan,crow
animal,crow,tarantula,crow
animal,crow,tick,crow
animal,crow,,crow
animal,duck,eagle,eagle
animal,duck,frog,duck
animal,duck,hummingbird,duck
animal,duck,iguana,iguana
animal,duck,lizard,lizard
animal,duck,owl,owl
animal,duck,parrot,parrot
animal,duck,seagull,seagull
animal,duck,snake,duck
animal,duck,spider,duck
animal,duck,vulture,duck
animal,duck,wasp,duck
animal,duck,worm,duck
animal,duck,beetle,duck
animal,duck,dragonfly,duck
animal,duck,flamingo,flamingo
animal,duck,hawk,hawk
animal,duck,ladybug,duck
animal,duck,peacock,duck
animal,duck,pelican,duck
animal,duck,penguin,duck
animal,duck,pheasant,duck
animal,duck,seahorse,seahorse
animal,duck,starfish,duck
animal,duck,swan,duck
animal,duck,tarantula,duck
animal,duck,tick,duck
animal,duck,,duck
animal,eagle,frog,frog
animal,eagle,hummingbird,eagle
animal,eagle,iguana,iguana
animal,eagle,lizard,lizard
animal,eagle,owl,eagle
animal,eagle,parrot,parrot
animal,eagle,seagull,seagull
animal,eagle,snake,eagle
animal,eagle,spider,eagle
animal,eagle,vulture,eagle
animal,eagle,wasp,eagle
animal,eagle,worm,eagle
animal,eagle,beetle,eagle
animal,eagle,dragonfly,eagle
animal,eagle,flamingo,eagle
animal,eagle,hawk,eagle
animal,eagle,ladybug,ladybug
animal,eagle,peacock,eagle
animal,eagle,pelican,pelican
animal,eagle,penguin,penguin
