category,item_a,item_b,winner
animal,Ameise,Biene,Ameise
animal,Ameise,Schmetterling,Schmetterling
animal,Ameise,Krähe,Ameise
animal,Ameise,Ente,Ameise
animal,Ameise,Adler,Adler
animal,Ameise,Frosch,Ameise
animal,Ameise,Kolibri,Ameise
animal,Ameise,Leguan,Ameise
animal,Ameise,Eidechse,Ameise
animal,Ameise,Eule,Ameise
animal,Ameise,Papagei,Ameise
animal,Ameise,Möwe,Ameise
animal,Ameise,Schlange,Ameise
animal,Ameise,Spinne,Ameise
animal,Ameise,Geier,Ameise
animal,Ameise,Wespe,Ameise
animal,Ameise,Wurm,Ameise
animal,Ameise,Käfer,Ameise
animal,Ameise,Libelle,Ameise
animal,Ameise,Flamingo,Ameise
animal,Ameise,Falke,Ameise
animal,Ameise,Marienkäfer,Ameise
animal,Ameise,Pfau,Ameise
animal,Ameise,Pelikan,Ameise
animal,Ameise,Pinguin,Ameise
animal,Ameise,Fasan,Ameise
animal,Ameise,Seepferdchen,Ameise
animal,Ameise,Seestern,Ameise
animal,Ameise,Schwan,Ameise
animal,Ameise,Tarantel,Ameise
animal,Ameise,Zecke,Ameise
animal,Ameise,Fliegen,Ameise
animal,Biene,Schmetterling,Biene
animal,Biene,Krähe,Biene
animal,Biene,Ente,Biene
animal,Biene,Adler,Adler
animal,Biene,Frosch,Biene
animal,Biene,Kolibri,Biene
animal,Biene,Leguan,Biene
animal,Biene,Eidechse,Biene
animal,Biene,Eule,Biene
animal,Biene,Papagei,Biene
animal,Biene,Möwe,Biene
animal,Biene,Schlange,Biene
animal,Biene,Spinne,Biene
animal,Biene,Geier,Biene
animal,Biene,Wespe,Biene
animal,Biene,Wurm,Biene
animal,Biene,Käfer,Biene
animal,Biene,Libelle,Biene
animal,Biene,Flamingo,Biene
animal,Biene,Falke,Biene
animal,Biene,Marienkäfer,Biene
animal,Biene,Pfau,Biene
animal,Biene,Pelikan,Biene
animal,Biene,Pinguin,Biene
animal,Biene,Fasan,Biene
animal,Biene,Seepferdchen,Biene
animal,Biene,Seestern,Biene
animal,Biene,Schwan,Biene
animal,Biene,Tarantel,Biene
animal,Biene,Zecke,Biene
animal,Biene,Fliegen,Biene
animal,Schmetterling,Krähe,Schmetterling
animal,Schmetterling,Ente,Schmetterling
animal,Schmetterling,Adler,Schmetterling
animal,Schmetterling,Frosch,Schmetterling
animal,Schmetterling,Kolibri,Schmetterling
animal,Schmetterling,Leguan,Schmetterling
animal,Schmetterling,Eidechse,Schmetterling
animal,Schmetterling,Eule,Schmetterling
animal,Schmetterling,Papagei,Schmetterling
animal,Schmetterling,Möwe,Schmetterling
animal,Schmetterling,Schlange,Schmetterling
animal,Schmetterling,Spinne,Schmetterling
animal,Schmetterling,Geier,Schmetterling
animal,Schmetterling,Wespe,Schmetterling
animal,Schmetterling,Wurm,Schmetterling
animal,Schmetterling,Käfer,Schmetterling
animal,Schmetterling,Libelle,Schmetterling
animal,Schmetterling,Flamingo,Schmetterling
animal,Schmetterling,Falke,Schmetterling
animal,Schmetterling,Marienkäfer,Schmetterling
animal,Schmetterling,Pfau,Schmetterling
animal,Schmetterling,Pelikan,Schmetterling
animal,Schmetterling,Pinguin,Schmetterling
animal,Schmetterling,Fasan,Schmetterling
animal,Schmetterling,Seepferdchen,Schmetterling
animal,Schmetterling,Seestern,Schmetterling
animal,Schmetterling,Schwan,Schmetterling
animal,Schmetterling,Tarantel,Schmetterling
animal,Schmetterling,Zecke,Schmetterling
animal,Schmetterling,Fliegen,Schmetterling
animal,Krähe,Ente,Krähe
animal,Krähe,Adler,Adler
animal,Krähe,Frosch,Krähe
animal,Krähe,Kolibri,Krähe
animal,Krähe,Leguan,Krähe
animal,Krähe,Eidechse,Krähe
animal,Krähe,Eule,Krähe
animal,Krähe,Papagei,Krähe
animal,Krähe,Möwe,Krähe
animal,Krähe,Schlange,Krähe
animal,Krähe,Spinne,Krähe
animal,Krähe,Geier,Krähe
animal,Krähe,Wespe,Krähe
animal,Krähe,Wurm,Krähe
animal,Krähe,Käfer,Krähe
animal,Krähe,Libelle,Krähe
animal,Krähe,Flamingo,Krähe
animal,Krähe,Falke,Krähe
animal,Krähe,Marienkäfer,Krähe
animal,Krähe,Pfau,Krähe
animal,Krähe,Pelikan,Krähe
animal,Krähe,Pinguin,Krähe
animal,Krähe,Fasan,Krähe
animal,Krähe,Seepferdchen,Krähe
animal,Krähe,Seestern,Krähe
animal,Krähe,Schwan,Krähe
animal,Krähe,Tarantel,Krähe
animal,Krähe,Zecke,Krähe
animal,Krähe,Fliegen,Krähe
animal,Ente,Adler,Adler
animal,Ente,Frosch,Ente
animal,Ente,Kolibri,Ente
animal,Ente,Leguan,Ente
animal,Ente,Eidechse,Ente
animal,Ente,Eule,Ente
animal,Ente,Papagei,Ente
animal,Ente,Möwe,Ente
animal,Ente,Schlange,Ente
animal,Ente,Spinne,Ente
animal,Ente,Geier,Ente
animal,Ente,Wespe,Ente
animal,Ente,Wurm,Ente
animal,Ente,Käfer,Ente
animal,Ente,Libelle,Ente
animal,Ente,Flamingo,Ente
animal,Ente,Falke,Ente
animal,Ente,Marienkäfer,Ente
animal,Ente,Pfau,Ente
animal,Ente,Pelikan,Ente
animal,Ente,Pinguin,Ente
animal,Ente,Fasan,Ente
animal,Ente,Seepferdchen,Ente
animal,Ente,Seestern,Ente
animal,Ente,Schwan,Ente
animal,Ente,Tarantel,Ente
animal,Ente,Zecke,Ente
animal,Ente,Fliegen,Ente
animal,Adler,Frosch,Adler
animal,Adler,Kolibri,Adler
animal,Adler,Leguan,Adler
animal,Adler,Eidechse,Adler
animal,Adler,Eule,Adler
animal,Adler,Papagei,Adler
animal,Adler,Möwe,Adler
animal,Adler,Schlange,Adler
animal,Adler,Spinne,Adler
animal,Adler,Geier,Adler
animal,Adler,Wespe,Adler
animal,Adler,Wurm,Adler
animal,Adler,Käfer,Adler
animal,Adler,Libelle,Adler
animal,Adler,Flamingo,Adler
animal,Adler,Falke,Adler
animal,Adler,Marienkäfer,Adler
animal,Adler,Pfau,Adler
animal,Adler,Pelikan,Adler
animal,Adler,Pinguin,Adler
animal,Adler,Fasan,Adler
animal,Adler,Seepferdchen,Adler
animal,Adler,Seestern,Adler
animal,Adler,Schwan,Adler
animal,Adler,Tarantel,Adler
animal,Adler,Zecke,Adler
animal,Adler,Fliegen,Adler
animal,Frosch,Kolibri,Frosch
animal,Frosch,Leguan,Frosch
animal,Frosch,Eidechse,Eidechse
animal,Frosch,Eule,Frosch
animal,Frosch,Papagei,Frosch
animal,Frosch,Möwe,Frosch
animal,Frosch,Schlange,Frosch
animal,Frosch,Spinne,Frosch
animal,Frosch,Geier,Frosch
animal,Frosch,Wespe,Frosch
animal,Frosch,Wurm,Frosch
animal,Frosch,Käfer,Frosch
animal,Frosch,Libelle,Frosch
animal,Frosch,Flamingo,Frosch
animal,Frosch,Falke,Frosch
animal,Frosch,Marienkäfer,Frosch
animal,Frosch,Pfau,Frosch
animal,Frosch,Pelikan,Frosch
animal,Frosch,Pinguin,Frosch
animal,Frosch,Fasan,Frosch
animal,Frosch,Seepferdchen,Frosch
animal,Frosch,Seestern,Frosch
animal,Frosch,Schwan,Frosch
animal,Frosch,Tarantel,Frosch
animal,Frosch,Zecke,Frosch
animal,Frosch,Fliegen,Frosch
animal,Kolibri,Leguan,Leguan
animal,Kolibri,Eidechse,Eidechse
animal,Kolibri,Eule,Kolibri
animal,Kolibri,Papagei,Papagei
animal,Kolibri,Möwe,Möwe
animal,Kolibri,Schlange,Schlange
animal,Kolibri,Spinne,Kolibri
animal,Kolibri,Geier,Kolibri
animal,Kolibri,Wespe,Kolibri
animal,Kolibri,Wurm,Kolibri
animal,Kolibri,Käfer,Käfer
animal,Kolibri,Libelle,Libelle
animal,Kolibri,Flamingo,Flamingo
animal,Kolibri,Falke,Kolibri
animal,Kolibri,Marienkäfer,Marienkäfer
animal,Kolibri,Pfau,Kolibri
animal,Kolibri,Pelikan,Pelikan
animal,Kolibri,Pinguin,Pinguin
animal,Kolibri,Fasan,Fasan
animal,Kolibri,Seepferdchen,Kolibri
animal,Kolibri,Seestern,Seestern
animal,Kolibri,Schwan,Schwan
animal,Kolibri,Tarantel,Kolibri
animal,Kolibri,Zecke,Kolibri
animal,Kolibri,Fliegen,Kolibri
animal,Leguan,Eidechse,Leguan
animal,Leguan,Eule,Leguan
animal,Leguan,Papagei,Leguan
animal,Leguan,Möwe,Leguan
animal,Leguan,Schlange,Leguan
animal,Leguan,Spinne,Leguan
animal,Leguan,Geier,Leguan
animal,Leguan,Wespe,Leguan
animal,Leguan,Wurm,Leguan
animal,Leguan,Käfer,Leguan
animal,Leguan,Libelle,Leguan
animal,Leguan,Flamingo,Leguan
animal,Leguan,Falke,Leguan
animal,Leguan,Marienkäfer,Leguan
animal,Leguan,Pfau,Leguan
animal,Leguan,Pelikan,Leguan
animal,Leguan,Pinguin,Leguan
animal,Leguan,Fasan,Leguan
animal,Leguan,Seepferdchen,Leguan
animal,Leguan,Seestern,Leguan
animal,Leguan,Schwan,Leguan
animal,Leguan,Tarantel,Leguan
animal,Leguan,Zecke,Leguan
animal,Leguan,Fliegen,Leguan
animal,Eidechse,Eule,Eidechse
animal,Eidechse,Papagei,Eidechse
animal,Eidechse,Möwe,Eidechse
animal,Eidechse,Schlange,Eidechse
