category,item_a,item_b,winner
animal,Hormiga,Abeja,Hormiga
animal,Hormiga,Mariposa,Hormiga
animal,Hormiga,Cuervo,Hormiga
animal,Hormiga,Pato,Hormiga
animal,Hormiga,Águila,Hormiga
animal,Hormiga,Rana,Hormiga
animal,Hormiga,Colibrí,Hormiga
animal,Hormiga,Iguana,Hormiga
animal,Hormiga,Lagartija,Hormiga
animal,Hormiga,Búho,Hormiga
animal,Hormiga,Loro,Hormiga
animal,Hormiga,Gaviota,Hormiga
animal,Hormiga,Culebra,Hormiga
animal,Hormiga,Araña,Hormiga
animal,Hormiga,Buitre,Hormiga
animal,Hormiga,Avispa,Hormiga
animal,Hormiga,Gusano,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Hormiga,,Hormiga
animal,Abeja,Mariposa,Abeja
animal,Abeja,Cuervo,Abeja
animal,Abeja,Pato,Abeja
animal,Abeja,Águila,Abeja
animal,Abeja,Rana,Abeja
animal,Abeja,Colibrí,Abeja
animal,Abeja,Iguana,Abeja
animal,Abeja,Lagartija,Abeja
animal,Abeja,Búho,Abeja
animal,Abeja,Loro,Abeja
animal,Abeja,Gaviota,Abeja
animal,Abeja,Culebra,Abeja
animal,Abeja,Araña,Abeja
animal,Abeja,Buitre,Abeja
animal,Abeja,Avispa,Abeja
animal,Abeja,Gusano,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Abeja,,Abeja
animal,Mariposa,Cuervo,Mariposa
animal,Mariposa,Pato,Pato
animal,Mariposa,Águila,Águila
animal,Mariposa,Rana,Mariposa
animal,Mariposa,Colibrí,Mariposa
animal,Mariposa,Iguana,Mariposa
animal,Mariposa,Lagartija,Mariposa
animal,Mariposa,Búho,Mariposa
animal,Mariposa,Loro,Mariposa
animal,Mariposa,Gaviota,Mariposa
animal,Mariposa,Culebra,Mariposa
animal,Mariposa,Araña,Mariposa
animal,Mariposa,Buitre,Mariposa
animal,Mariposa,Avispa,Mariposa
animal,Mariposa,Gusano,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
animal,Mariposa,,Mariposa
