,model,category,language,frame_type,instance,prompt,total_logprob,avg_logprob
0,google/gemma-3-12b-it,animal,en,generic,ant,One example of a animal is ___.,-17.25,-17.25
1,google/gemma-3-12b-it,animal,en,generic,bee,One example of a animal is ___.,-18.875,-18.875
2,google/gemma-3-12b-it,animal,en,generic,butterfly,One example of a animal is ___.,-19.125,-19.125
3,google/gemma-3-12b-it,animal,en,generic,crow,One example of a animal is ___.,-20.0,-20.0
4,google/gemma-3-12b-it,animal,en,generic,duck,One example of a animal is ___.,-18.0,-18.0
5,google/gemma-3-12b-it,animal,en,generic,eagle,One example of a animal is ___.,-20.5,-20.5
6,google/gemma-3-12b-it,animal,en,generic,frog,One example of a animal is ___.,-17.75,-17.75
7,google/gemma-3-12b-it,animal,en,generic,hummingbird,One example of a animal is ___.,-18.75,-18.75
8,google/gemma-3-12b-it,animal,en,generic,iguana,One example of a animal is ___.,-20.375755310058594,-10.187877655029297
9,google/gemma-3-12b-it,animal,en,generic,lizard,One example of a animal is ___.,-16.375,-16.375
10,google/gemma-3-12b-it,animal,en,generic,owl,One example of a animal is ___.,-18.25,-18.25
11,google/gemma-3-12b-it,animal,en,generic,parrot,One example of a animal is ___.,-17.25,-17.25
12,google/gemma-3-12b-it,animal,en,generic,seagull,One example of a animal is ___.,-20.13262939453125,-10.066314697265625
13,google/gemma-3-12b-it,animal,en,generic,snake,One example of a animal is ___.,-15.6875,-15.6875
14,google/gemma-3-12b-it,animal,en,generic,spider,One example of a animal is ___.,-19.875,-19.875
15,google/gemma-3-12b-it,animal,en,generic,vulture,One example of a animal is ___.,-22.375,-22.375
16,google/gemma-3-12b-it,animal,en,generic,wasp,One example of a animal is ___.,-22.25,-22.25
17,google/gemma-3-12b-it,animal,en,generic,worm,One example of a animal is ___.,-20.125,-20.125
18,google/gemma-3-12b-it,animal,en,generic,beetle,One example of a animal is ___.,-19.75,-19.75
19,google/gemma-3-12b-it,animal,en,generic,bird,One example of a animal is ___.,-14.625,-14.625
20,google/gemma-3-12b-it,animal,en,generic,cockroach,One example of a animal is ___.,-20.376327514648438,-10.188163757324219
21,google/gemma-3-12b-it,animal,en,generic,dragonfly,One example of a animal is ___.,-20.5,-20.5
22,google/gemma-3-12b-it,animal,en,generic,flamingo,One example of a animal is ___.,-19.25,-19.25
23,google/gemma-3-12b-it,animal,en,generic,grasshopper,One example of a animal is ___.,-18.74609375,-9.373046875
24,google/gemma-3-12b-it,animal,en,generic,hawk,One example of a animal is ___.,-19.75,-19.75
25,google/gemma-3-12b-it,animal,en,generic,ladybug,One example of a animal is ___.,-22.02734375,-11.013671875
26,google/gemma-3-12b-it,animal,en,generic,mosquito,One example of a animal is ___.,-20.625,-20.625
27,google/gemma-3-12b-it,animal,en,generic,ostrich,One example of a animal is ___.,-20.375,-20.375
28,google/gemma-3-12b-it,animal,en,generic,peacock,One example of a animal is ___.,-21.125,-21.125
29,google/gemma-3-12b-it,animal,en,generic,pelican,One example of a animal is ___.,-20.275390625,-10.1376953125
30,google/gemma-3-12b-it,animal,en,generic,penguin,One example of a animal is ___.,-16.875,-16.875
31,google/gemma-3-12b-it,animal,en,generic,pheasant,One example of a animal is ___.,-23.375,-23.375
32,google/gemma-3-12b-it,animal,en,generic,rooster,One example of a animal is ___.,-20.625,-20.625
33,google/gemma-3-12b-it,animal,en,generic,seahorse,One example of a animal is ___.,-20.0859375,-10.04296875
34,google/gemma-3-12b-it,animal,en,generic,starfish,One example of a animal is ___.,-19.5,-19.5
35,google/gemma-3-12b-it,animal,en,generic,swan,One example of a animal is ___.,-21.0,-21.0
36,google/gemma-3-12b-it,animal,en,generic,tarantula,One example of a animal is ___.,-17.8046875,-5.934895833333333
37,google/gemma-3-12b-it,animal,en,generic,tick,One example of a animal is ___.,-16.375,-16.375
38,google/gemma-3-12b-it,animal,en,generic,toad,One example of a animal is ___.,-21.75,-21.75
39,google/gemma-3-12b-it,animal,en,generic,turtle,One example of a animal is ___.,-15.8125,-15.8125
40,google/gemma-3-12b-it,animal,en,generic,aardvark,One example of a animal is ___.,-19.065834045410156,-6.355278015136719
41,google/gemma-3-12b-it,animal,en,generic,alligator,One example of a animal is ___.,-17.625,-17.625
42,google/gemma-3-12b-it,animal,en,generic,alpaca,One example of a animal is ___.,-22.37609100341797,-11.188045501708984
43,google/gemma-3-12b-it,animal,en,generic,anteater,One example of a animal is ___.,-19.0299072265625,-9.51495361328125
44,google/gemma-3-12b-it,animal,en,generic,antelope,One example of a animal is ___.,-16.25,-16.25
45,google/gemma-3-12b-it,animal,en,generic,badger,One example of a animal is ___.,-20.5,-20.5
46,google/gemma-3-12b-it,animal,en,generic,barnacle,One example of a animal is ___.,-21.359375,-10.6796875
47,google/gemma-3-12b-it,animal,en,generic,bat,One example of a animal is ___.,-18.5,-18.5
48,google/gemma-3-12b-it,animal,en,generic,bear,One example of a animal is ___.,-16.375,-16.375
49,google/gemma-3-12b-it,animal,en,generic,beaver,One example of a animal is ___.,-18.0,-18.0
50,google/gemma-3-12b-it,animal,en,generic,bison,One example of a animal is ___.,-18.75,-18.75
51,google/gemma-3-12b-it,animal,en,generic,blowfish,One example of a animal is ___.,-24.029296875,-12.0146484375
52,google/gemma-3-12b-it,animal,en,generic,boar,One example of a animal is ___.,-22.5,-22.5
53,google/gemma-3-12b-it,animal,en,generic,bug,One example of a animal is ___.,-22.25,-22.25
54,google/gemma-3-12b-it,animal,en,generic,bull,One example of a animal is ___.,-19.75,-19.75
55,google/gemma-3-12b-it,animal,en,generic,calf,One example of a animal is ___.,-23.75,-23.75
56,google/gemma-3-12b-it,animal,en,generic,camel,One example of a animal is ___.,-17.125,-17.125
57,google/gemma-3-12b-it,animal,en,generic,cardinal,One example of a animal is ___.,-21.875,-21.875
58,google/gemma-3-12b-it,animal,en,generic,cat,One example of a animal is ___.,-14.5625,-14.5625
59,google/gemma-3-12b-it,animal,en,generic,caterpillar,One example of a animal is ___.,-21.0,-21.0
60,google/gemma-3-12b-it,animal,en,generic,catfish,One example of a animal is ___.,-18.0,-18.0
61,google/gemma-3-12b-it,animal,en,generic,cheetah,One example of a animal is ___.,-15.875,-15.875
62,google/gemma-3-12b-it,animal,en,generic,chick,One example of a animal is ___.,-19.125,-19.125
63,google/gemma-3-12b-it,animal,en,generic,chicken,One example of a animal is ___.,-16.5,-16.5
64,google/gemma-3-12b-it,animal,en,generic,chihuahua,One example of a animal is ___.,-19.625,-19.625
65,google/gemma-3-12b-it,animal,en,generic,chinchilla,One example of a animal is ___.,-19.712890625,-6.570963541666667
66,google/gemma-3-12b-it,animal,en,generic,chipmunk,One example of a animal is ___.,-21.2626953125,-10.63134765625
67,google/gemma-3-12b-it,animal,en,generic,clam,One example of a animal is ___.,-21.875,-21.875
68,google/gemma-3-12b-it,animal,en,generic,cobra,One example of a animal is ___.,-20.875,-20.875
69,google/gemma-3-12b-it,animal,en,generic,cockatoo,One example of a animal is ___.,-18.7801513671875,-6.260050455729167
70,google/gemma-3-12b-it,animal,en,generic,coral,One example of a animal is ___.,-17.25,-17.25
71,google/gemma-3-12b-it,animal,en,generic,cougar,One example of a animal is ___.,-18.5263671875,-9.26318359375
72,google/gemma-3-12b-it,animal,en,generic,cow,One example of a animal is ___.,-16.5,-16.5
73,google/gemma-3-12b-it,animal,en,generic,coyote,One example of a animal is ___.,-18.375,-18.375
74,google/gemma-3-12b-it,animal,en,generic,crab,One example of a animal is ___.,-21.375,-21.375
75,google/gemma-3-12b-it,animal,en,generic,crayfish,One example of a animal is ___.,-21.0,-21.0
76,google/gemma-3-12b-it,animal,en,generic,dalmatian,One example of a animal is ___.,-22.011070251464844,-7.337023417154948
77,google/gemma-3-12b-it,animal,en,generic,deer,One example of a animal is ___.,-13.9375,-13.9375
78,google/gemma-3-12b-it,animal,en,generic,dog,One example of a animal is ___.,-13.6875,-13.6875
79,google/gemma-3-12b-it,animal,en,generic,dolphin,One example of a animal is ___.,-16.125,-16.125
